GeographyKey,Region,State,City
Central|Illinois|Atlanta,Central,Illinois,Atlanta
Central|Illinois|Boston,Central,Illinois,Boston
Central|Illinois|Chicago,Central,Illinois,Chicago
Central|Illinois|Cleveland,Central,Illinois,Cleveland
Central|Illinois|Columbus,Central,Illinois,Columbus
Central|Illinois|Dallas,Central,Illinois,Dallas
Central|Illinois|Denver,Central,Illinois,Denver
Central|Illinois|Houston,Central,Illinois,Houston
Central|Illinois|Indianapolis,Central,Illinois,Indianapolis
Central|Illinois|Las Vegas,Central,Illinois,Las Vegas
Central|Illinois|Los Angeles,Central,Illinois,Los Angeles
Central|Illinois|Madison,Central,Illinois,Madison
Central|Illinois|Miami,Central,Illinois,Miami
Central|Illinois|Minneapolis,Central,Illinois,Minneapolis
Central|Illinois|New York,Central,Illinois,New York
Central|Illinois|Orlando,Central,Illinois,Orlando
Central|Illinois|Philadelphia,Central,Illinois,Philadelphia
Central|Illinois|Portland,Central,Illinois,Portland
Central|Illinois|San Francisco,Central,Illinois,San Francisco
Central|Illinois|Seattle,Central,Illinois,Seattle
Central|Michigan|Atlanta,Central,Michigan,Atlanta
Central|Michigan|Boston,Central,Michigan,Boston
Central|Michigan|Chicago,Central,Michigan,Chicago
Central|Michigan|Cleveland,Central,Michigan,Cleveland
Central|Michigan|Columbus,Central,Michigan,Columbus
Central|Michigan|Dallas,Central,Michigan,Dallas
Central|Michigan|Denver,Central,Michigan,Denver
Central|Michigan|Houston,Central,Michigan,Houston
Central|Michigan|Indianapolis,Central,Michigan,Indianapolis
Central|Michigan|Las Vegas,Central,Michigan,Las Vegas
Central|Michigan|Los Angeles,Central,Michigan,Los Angeles
Central|Michigan|Madison,Central,Michigan,Madison
Central|Michigan|Miami,Central,Michigan,Miami
Central|Michigan|Minneapolis,Central,Michigan,Minneapolis
Central|Michigan|New York,Central,Michigan,New York
Central|Michigan|Orlando,Central,Michigan,Orlando
Central|Michigan|Philadelphia,Central,Michigan,Philadelphia
Central|Michigan|Portland,Central,Michigan,Portland
Central|Michigan|San Francisco,Central,Michigan,San Francisco
Central|Michigan|Seattle,Central,Michigan,Seattle
Central|Ohio|Atlanta,Central,Ohio,Atlanta
Central|Ohio|Boston,Central,Ohio,Boston
Central|Ohio|Chicago,Central,Ohio,Chicago
Central|Ohio|Cleveland,Central,Ohio,Cleveland
Central|Ohio|Columbus,Central,Ohio,Columbus
Central|Ohio|Dallas,Central,Ohio,Dallas
Central|Ohio|Denver,Central,Ohio,Denver
Central|Ohio|Houston,Central,Ohio,Houston
Central|Ohio|Indianapolis,Central,Ohio,Indianapolis
Central|Ohio|Las Vegas,Central,Ohio,Las Vegas
Central|Ohio|Los Angeles,Central,Ohio,Los Angeles
Central|Ohio|Madison,Central,Ohio,Madison
Central|Ohio|Miami,Central,Ohio,Miami
Central|Ohio|Minneapolis,Central,Ohio,Minneapolis
Central|Ohio|New York,Central,Ohio,New York
Central|Ohio|Orlando,Central,Ohio,Orlando
Central|Ohio|Philadelphia,Central,Ohio,Philadelphia
Central|Ohio|Portland,Central,Ohio,Portland
Central|Ohio|San Francisco,Central,Ohio,San Francisco
Central|Ohio|Seattle,Central,Ohio,Seattle
Central|Texas|Atlanta,Central,Texas,Atlanta
Central|Texas|Boston,Central,Texas,Boston
Central|Texas|Chicago,Central,Texas,Chicago
Central|Texas|Cleveland,Central,Texas,Cleveland
Central|Texas|Columbus,Central,Texas,Columbus
Central|Texas|Dallas,Central,Texas,Dallas
Central|Texas|Denver,Central,Texas,Denver
Central|Texas|Houston,Central,Texas,Houston
Central|Texas|Indianapolis,Central,Texas,Indianapolis
Central|Texas|Las Vegas,Central,Texas,Las Vegas
Central|Texas|Los Angeles,Central,Texas,Los Angeles
Central|Texas|Madison,Central,Texas,Madison
Central|Texas|Miami,Central,Texas,Miami
Central|Texas|Minneapolis,Central,Texas,Minneapolis
Central|Texas|New York,Central,Texas,New York
Central|Texas|Orlando,Central,Texas,Orlando
Central|Texas|Philadelphia,Central,Texas,Philadelphia
Central|Texas|Portland,Central,Texas,Portland
Central|Texas|San Francisco,Central,Texas,San Francisco
Central|Texas|Seattle,Central,Texas,Seattle
East|Massachusetts|Atlanta,East,Massachusetts,Atlanta
East|Massachusetts|Boston,East,Massachusetts,Boston
East|Massachusetts|Chicago,East,Massachusetts,Chicago
East|Massachusetts|Cleveland,East,Massachusetts,Cleveland
East|Massachusetts|Columbus,East,Massachusetts,Columbus
East|Massachusetts|Dallas,East,Massachusetts,Dallas
East|Massachusetts|Denver,East,Massachusetts,Denver
East|Massachusetts|Houston,East,Massachusetts,Houston
East|Massachusetts|Indianapolis,East,Massachusetts,Indianapolis
East|Massachusetts|Las Vegas,East,Massachusetts,Las Vegas
East|Massachusetts|Los Angeles,East,Massachusetts,Los Angeles
East|Massachusetts|Madison,East,Massachusetts,Madison
East|Massachusetts|Miami,East,Massachusetts,Miami
East|Massachusetts|Minneapolis,East,Massachusetts,Minneapolis
East|Massachusetts|New York,East,Massachusetts,New York
East|Massachusetts|Orlando,East,Massachusetts,Orlando
East|Massachusetts|Philadelphia,East,Massachusetts,Philadelphia
East|Massachusetts|Portland,East,Massachusetts,Portland
East|Massachusetts|San Francisco,East,Massachusetts,San Francisco
East|Massachusetts|Seattle,East,Massachusetts,Seattle
East|New Jersey|Atlanta,East,New Jersey,Atlanta
East|New Jersey|Boston,East,New Jersey,Boston
East|New Jersey|Chicago,East,New Jersey,Chicago
East|New Jersey|Cleveland,East,New Jersey,Cleveland
East|New Jersey|Columbus,East,New Jersey,Columbus
East|New Jersey|Dallas,East,New Jersey,Dallas
East|New Jersey|Denver,East,New Jersey,Denver
East|New Jersey|Houston,East,New Jersey,Houston
East|New Jersey|Indianapolis,East,New Jersey,Indianapolis
East|New Jersey|Las Vegas,East,New Jersey,Las Vegas
East|New Jersey|Los Angeles,East,New Jersey,Los Angeles
