Order_ID,Order_Date,Customer_ID,Product_Name,GeographyKey,Sales,Quantity,Discount,Profit
CA-2024-100000,2022-10-17,CUST-017,Folder Labels,East|Pennsylvania|Columbus,1881.6,8,0.2,131.71
CA-2023-100001,2021-08-15,CUST-010,Markers,South|Florida|Minneapolis,1939.14,7,0.1,203.61
US-2022-100002,2023-11-18,CUST-021,Colored Pencils,Central|Texas|Indianapolis,1126.02,8,0.2,78.82
US-2021-100003,2021-02-20,CUST-028,Gaming Chair,Central|Ohio|Denver,7083.76,8,0.15,1044.85
EU-2020-100004,2024-05-14,CUST-029,Label Holder,South|Virginia|Orlando,3683.44,4,0.0,515.68
EU-2024-100005,2023-12-08,CUST-029,Noise Cancelling Headset,East|Massachusetts|Minneapolis,1283.48,2,0.15,291.99
EU-2023-100006,2023-08-20,CUST-023,Folder Labels,Central|Michigan|Chicago,1571.35,7,0.1,164.99
CA-2022-100007,2021-03-09,CUST-005,Metal Cabinet,North|Indiana|Madison,3542.97,5,0.15,522.59
EU-2021-100008,2023-10-16,CUST-026,Ikea Bookcase,North|Colorado|Chicago,5310.02,8,0.2,690.3
US-2020-100009,2023-07-17,CUST-030,Canvas Pack,South|North Carolina|Boston,628.42,6,0.15,54.99
CA-2024-100010,2023-07-10,CUST-030,Plastic Binder,East|New York|Denver,608.08,4,0.0,85.13
EU-2023-100011,2022-07-04,CUST-022,Wooden Bookcase,Central|Illinois|New York,2172.84,4,0.05,396.54
EU-2022-100012,2024-11-19,CUST-017,Desktop PC,East|Massachusetts|Seattle,3147.91,7,0.05,826.33
EU-2021-100013,2022-02-07,CUST-013,HD Webcam,East|Massachusetts|Boston,32.72,1,0.15,7.44
US-2020-100014,2024-10-30,CUST-010,Office Desk,Central|Texas|Minneapolis,1889.5,4,0.1,311.77
US-2024-100015,2024-05-10,CUST-008,Inkjet Printer,East|Massachusetts|Philadelphia,780.69,1,0.0,218.59
US-2023-100016,2024-08-05,CUST-007,Inkjet Printer,East|Pennsylvania|Madison,2269.11,3,0.05,595.64
US-2022-100017,2022-07-13,CUST-014,Laptop Table,South|Florida|Miami,821.15,3,0.15,121.12
US-2021-100018,2022-08-13,CUST-015,Desktop PC,Central|Michigan|Denver,1935.45,2,0.05,508.06
CA-2020-100019,2021-07-10,CUST-029,Printer Paper,Central|Michigan|Indianapolis,5492.23,6,0.1,576.68
EU-2024-100020,2024-11-08,CUST-019,Markers,West|California|Columbus,2715.6,5,0.2,190.09
CA-2023-100021,2021-07-27,CUST-026,Laser Printer,East|Massachusetts|Seattle,4953.58,6,0.05,1300.31
EU-2022-100022,2024-07-14,CUST-004,HD Webcam,Central|Ohio|Cleveland,956.82,3,0.0,267.91
CA-2021-100023,2023-04-24,CUST-028,iPhone 13,South|Florida|Philadelphia,618.56,5,0.2,129.9
